Entity,Percent Change in Deaths (1990-2017)
Tropical Latin America,-47.57794900066652
Tunisia,-27.17182485937949
Turkey,-48.7594592695054
Turkmenistan,-4.6658584923969855
Uganda,-23.029120490359542
Ukraine,1.8184944588603142
United Arab Emirates,-17.484368318197827
United Kingdom,-59.39021498915365
United States,-41.007639870159515
United States Virgin Islands,-19.08865920665301
Uruguay,-45.62833782581082
Uzbekistan,59.12163102782058
Vanuatu,-8.490093051317626
Venezuela,-32.72168782787918
Vietnam,-23.78686855002999
Wales,-57.265849334907784
Western Europe,-55.43590889841419
Western Sub-Saharan Africa,-16.707657776472374
World,-30.364555806605427
Yemen,-23.191756167919596
Zambia,-28.932215826065445
Zimbabwe,17.862436858630506
